Customer_id,Account_Number,Account_type,Balance_amount,Account_status,Relationship_type
123001,4000-1956-3456,SAVINGS,200000,ACTIVE,P
123001,5000-1700-3456,"RECURRING DEPOSITS",9400000,ACTIVE,S
123002,4000-1956-2001,SAVINGS,400000,ACTIVE,P
123002,5000-1700-5001,"RECURRING DEPOSITS",7500000,ACTIVE,S
123003,4000-1956-2900,SAVINGS,750000,INACTIVE,P
123004,5000-1700-6091,"RECURRING DEPOSITS",7500000,ACTIVE,S
123004,4000-1956-3401,SAVINGS,655000,ACTIVE,P
123005,4000-1956-5102,SAVINGS,300000,ACTIVE,P
123006,4000-1956-5698,SAVINGS,455000,ACTIVE,P
123007,5000-1700-9800,SAVINGS,355000,ACTIVE,P
123007,4000-1956-9977,"RECURRING DEPOSITS",7025000,ACTIVE,S
123007,9000-1700-7777-4321,"Credit Card",0,INACTIVE,P
123007,5900-1900-9877-5543,"Add-on Credit Card",0,ACTIVE,S
123008,5000-1700-7755,SAVINGS,0,INACTIVE,P
123006,5800-1700-9800-7755,"Credit Card",0,ACTIVE,P
123006,5890-1970-7706-8912,"Add-on Credit Card",0,ACTIVE,S
