Customer_id,Account_Number,Account_type,Linking_Account_Number
123001,4000-1956-3456,SAVINGS,
123001,5000-1700-3456,"RECURRING DEPOSITS",4000-1956-3456
123002,4000-1956-2001,SAVINGS,
123002,5000-1700-5001,"RECURRING DEPOSITS",4000-1956-2001
123003,4000-1956-2900,SAVINGS,
123004,5000-1700-6091,"RECURRING DEPOSITS",4000-1956-2900
123004,5000-1700-7791,"RECURRING DEPOSITS",4000-1956-2900
123007,5000-1700-9800,SAVINGS,
123007,4000-1956-9977,"RECURRING DEPOSITS",5000-1700-9800
NULL,9000-1700-7777-4321,"Credit Card",5000-1700-9800
NULL,5900-1900-9877-5543,"Add-on Credit Card",9000-1700-7777-4321
NULL,5800-1700-9800-7755,"Credit Card",4000-1956-5698
NULL,5890-1970-7706-8912,"Add-on Credit Card",5800-1700-9800-7755
